"Label Key";"Default Language";"_4";"_32";"_567";"_587"
Q17A2_text;"They exist, but the average employee probably couldn't define them.";"Ils existent, mais le simple employé  ne pourrait probablement pas les définir.";"Existen, pero el empleado promedio probablemente no podría definirlos.";"Zipo, lakini mfanyakazi wa kawaida labda hangeweza kuzifafanua.";"Barahari, ariko abakozi basanzwe birashoboka ko badashobora kubisobanura."
Q17A3_text;"Our managers are aware of the mission and values, but most employees aren't.";"Nos managers sont conscients de la mission et des valeurs, mais la plupart des employés ne le sont pas.";"Nuestros gerentes conocen la misión y los valores, pero la mayoría de los empleados no.";"Viongozi wetu wanajua dhamira na maadili, lakini wafanyikazi wengi hawazijui.";"Abayobozi bacu bazi ubutumwa n'indangagaciro, ariko abakozi benshi ntabwo babizi."
Q17A4_text;"Our entire staff could tell you what they are, but we don't always practice them.";"Tout notre personnel pourrait vous dire ce qu'ils sont, mais nous ne les pratiquons pas toujours.";"Todo nuestro personal podría decirte cuáles son, pero no siempre los practicamos.";"Wafanyikazi wetu wote wangeweza kukuambia ayo, lakini huwa hatuwayafuatishe kila wakati.";"Abakozi bacu bose barashobora kukubwira icyo aricyo, ariko ntabwo buri gihe tubitoza."
Q17A5_text;"They are a fundamental part of our daily work. We incorporate them into meetings, policies, and practice.";"Ils font partie intégrante de notre travail quotidien. Nous les intégrons dans les réunions, les politiques et la pratique.";"Son parte fundamental de nuestro trabajo diario. Los incorporamos en reuniones, políticas y prácticas.";"Hizo huwa msingi ya kazi yetu ya kila siku. Tunazingiza kwenye mitan, sera, na vitendo.";"Nibice byingenzi mubikorwa byacu bya buri munsi. Turabashyira mu nama, politiki, no mu myitozo."
Q17A6_text;none of the above;Aucune de ces réponses.;Ninguna de las anteriores.;Hakuna hata moja hapo juu.;Nta na kimwe muri ibyo byavuzwe haruguru.
Q18_text;How well does the organization live itsvalues? Do you believe these values are practiced by employees?;Dans quelle mesure l'organisation vit-elle ses valeurs? Pensez-vous que ces valeurs sont pratiquées par les employés?;¿Qué tan bien vive la organización sus valores? ¿Cree que estos valores los practican los empleados?;Je! Shirika linaishije maadili yake? Je! Unaamini maadili haya yanatekelezwa na wafanyikazi?;Ni mu buhe buryo umuryango ubaho indangagaciro? Wizera ko indangagaciro zikoreshwa n'abakozi
Q18_low_end_label;Not at all;pas du tout;Para nada;Hata kidogo;ntabwo aribyo rwose
Q18_high_end_label;Definitely;absolument;definitivamente;vizuri sana;neza cyane
Q18_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q19_text;My work is meaningful and important to the organization. I directly contribute to our success.;Mon travail est significatif et important pour l'organisation. Je contribue directement à notre succès;;Kazi yangu ni ya maana na muhimu kwa shirika. Nasaidia moja kwa moja mafanikio yetu;Akazi kanjye karasobanutse kandi ni ingenzi mw’itsinda. Ntanga umusanzu kw’itsinzi ryacu
Q19_low_end_label;Not at all;pas du tout;Para nada;Hata kidogo;ntabwo aribyo rwose
Q19_high_end_label;Extremely;extrêmement bien;Extremadamente;kabisa;neza cyane
Q19_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q20_text;Employees actively help each other understand their special areas of expertise.;Les employés s'entraident activement pour comprendre leurs domaines d'expertise particuliers.;Empleados se ayudan entre sí a indicar sus habilidades.;Wafanyakazi husaidiana kikamilifu kuelewa maeneo yao maalum ya utaalam.;Abakozi barafashanya cyane gusobanukirwa ubumenyi bwabo bwihariye.
Q20_low_end_label;never;Jamais;Nunca;Kamwe;Nta na rimwe
Q20_high_end_label;always;Toujours;Siempre;Daima;Buri gihe
Q20_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q21_text;I feel like my perspectives and opinions are valued by [check all that apply];J'ai l'impression que mes points de vue et opinions sont appréciés par [cochez tout ce qui s'applique];Siento que mis perspectivas y opiniones son valoradas por [marque todas las opciones que correspondan];Ninahisi kama mitazamo na maoni yangu yanathaminiwa na [angalia yote yanayotumika];Ndumva ibitekerezo byanjye n'ibitekerezo bihabwa agaciro na [reba ibikurikizwa byose]
Q21_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q21A1_text;my direct supervisor;Mon superviseur direct;Mi supervisor directo;Msimamizi wangu wa moja kwa moja;Umuyobozi wanjye wahafi
Q21A2_text;my peers and team members;Mes collegues et membres de l'équipe;Mis compañeros y miembros del equipo;Wenzangu na washiriki wa timu;Urungano rwanjye hamwe nabagize itsinda
Q21A3_text;those reporting to me;Ceux qui relèvent de moi;Los que se reportan a mí.;Wale wanaoniripoti;Abampa raporo
Q21A4_text;the organization as a whole;L'organisation dans son ensemble;La organización en su totalidad;Shirika kwa ujumla;Ishyirahamwe muri rusange
Q21A5_text;senior-level management;Direction de haut niveau;Gerentes de alto nivel;Usimamizi wa kiwango cha juu;Ubuyobozi bwo mu rwego rwo hejuru
Q21A6_text;none of the above;Aucune de ces réponses;Ninguna de las anteriores;Hakuna jibu hata moja hapo juu.;Nta na kimwe hejuru
Q22_text;In what waysdoes your company support the professional development and growthof their employees?[check all that apply];"De quelle manière votre entreprise soutient-elle le développement professionnel de ses employés? [Cochez toutes les cases]";"¿De qué forma su empresa apoya el desarrollo profesional de sus empleados? [marque todo lo que corresponda]";"Ni kwa njia gani shiirika yako inasaidia maendeleo ya kitaalam ya wafanyikazi wao? [angalia yote yanayotumika]";"Ni mu buhe buryo isosiyete yawe ishyigikira iterambere ry'umwuga ry'abakozi babo? [usige akamenyetso ahakwiye hose]"
Q22_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q22A1_text;We don't have any professional development opportunities.;Nous n'avons aucune opportunité de développement professionnel.;No tenemos oportunidades de desarrollo profesional.;Hatuna fursa yoyote ya maendeleo ya kitaalam.;Ntabwo dufite amahirwe yo kwiteza imbere.
Q22A2_text;Any type of professional development is viewed as a threat to manager's position/power and is actively discouraged.;Le développement est considéré comme une menace pour la position / le pouvoir du manager et est activement découragé.;El desarrollo se considera una amenaza para la posición o el poder del gerente y se desalienta activamente.;Maendeleo yanaonekana kama tishio kwa msimamo/nguvu ya kiyongozi na imekatashwa tamaa kabisa.;Iterambere rifatwa nabi n’abayobozi kandi ubutegetsi bukomeza gusenywa.
Q22A3_text;"There is a vague commitment to professional development, but it rarely helps employees in actual promotion or opportunity.";"Il y a un engagement vague envers le développement professionnel, mais il aide rarement les employés dans la promotion ou l'opportunité réelle.";"Existe un compromiso vago con el desarrollo profesional, pero rara vez se ayuda a los empleados en la promoción u oportunidad real.";"Kuna kujitolea wazi kwa maendeleo ya kitaalam, lakini mara chache husaidia wafanyikazi katika kukuza au fursa halisi.";"Hariho ubushake budasobanutse bwiterambere ryumwuga, ariko ntibikunze gufasha abakozi mukuzamuka muri sosiyete cyangwa kubona amahirwe yo kwiteza imbere."
Q22A4_text;Managers take an active role in the growth of their team members.;Les managers assument la responsabilité de soutenir la croissance des membres de leur équipe et d'encourager leur développement.;Los gerentes asumen la responsabilidad de apoyar el crecimiento de los miembros de su equipo y anima su desarrollo.;Wasimamizi huchukua jukumu la kusaidia ukuaji wa washiriki wa timu yao na kuhimiza maendeleo yao.;Abayobozi bafata inshingano zo gushyigikira iterambere ryabagize itsinda ryabo no kubatera inkunga.
Q22A5_text;There are active mentorship opportunities available to help with promotion and growth.;Il existe des programmes de mentorat actif pour aider à la promotion et à la croissance.;Hay programas de mentores activos disponibles para ayudar con la promoción y el crecimiento.;Kuna mipango ya ushauri inayotumika kusaidia kukuza na ukuaji.;Hariho gahunda zikora neza zihari zifasha mukuzamura no gutera imbere.
Q22A6_text;Employees can enroll in courses through the company.;Les employés peuvent s'inscrire à des cours dans l'entreprise.;Los empleados pueden inscribirse en cursos a través de la empresa.;Wafanyakazi wanaweza kujiandikisha katika kozi kupitia shirika.;Abakozi barashobora kwiyandikisha mumasomo binyuze muri sosiyete.
Q22A7_text;Employees can sign up for certifications or courses outsides of the company that are paid for.;Les employés peuvent s'inscrire à des cours en dehors de l'entreprise qui sont payés.;Los empleados pueden inscribirse en cursos fuera de la empresa por los que se paga.;Wafanyakazi wanaweza kujisajili kwa kozi za nje ya shirika ambazo zinalipwa.;Abakozi barashobora kwiyandikisha mumasomo yo hanze yikigo bahembwa
Q22A8_text;none of the above;Aucune de ces réponses.;Ninguna de las anteriores.;Hakuna jibu hata moja hapo juu.;Nta na kimwe hejuru
Q23_text;In what ways have you seen the organization change since you have been an employee [check all that apply]:;De quelle manière avez-vous vu l'organisation changer depuis que vous êtes employé [cochez tout ce qui s'applique]:;¿De qué manera ha visto cambiar la organización desde que es empleado [marque todas las opciones que correspondan]:;Ni kwa njia gani umeona shirika likibadilika tangu umekuwa mfanyakazi [angalia yote yanayotumika]:;Ni mu buhe buryo wabonye ishyirahamwe rihinduka kuva aho wabereye umukozi [reba ibisabwa byose]:
Q23_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q23A1_text;I don't think the company has made any significant changes.;Je ne pense pas que l'entreprise ait apporté des changements importants.;No creo que la empresa haya realizado cambios significativos.;Sidhani kama shirika imefanya mabadiliko muhimu yoyote.;Ntabwo ntekereza ko sosiyete ntacyo yahinduye.
Q23A2_text;New policies have been implemented and enforced organization-wide.;De nouvelles politiques ont été mises en œuvre et appliquées à l'échelle de l'organisation.;Se han implementado y aplicado nuevas políticas en toda la organización.;Sera mpya zimetekelezwa na kutekelezwa kwa shirika kote.;Amategeko mashya yashyizwe mu bikorwa kandi ashyirwa mu bikorwa mw’ishyirahamwe ryose.
Q23A3_text;The company has changed its public message and image.;L'entreprise a changé son message public et son image.;La empresa ha cambiado su imagen y mensaje público.;Shirika imebadilisha ujumbe na sula yake kwa umma.;Sosiyete yahinduye ubutumwa rusange nishusho.
Q23A4_text;I have seen substantial changes in managers' behavior and actions.;J'ai vu des changements substantiels dans le comportement et les actions des responsables.;He visto cambios sustanciales en el comportamiento y las acciones de los gerentes.;Nimeona mabadiliko makubwa katika tabia na matendo ya viongozi wa kuu. ;Nabonye impinduka zikomeye mumyitwarire n'ibikorwa by'abayobozi.
Q23A5_text;My small team or department has changed our procedures and policies internally.;Ma petite équipe ou mon service a modifié nos procédures et politiques en interne.;Mi pequeño equipo o departamento ha cambiado nuestros procedimientos y políticas internamente.;Timu yangu ndogo au idara imebadilisha taratibu na sera zetu ndani.;Itsinda ryanjye rito cyangwa ishami ryahinduye imikorere n’amategeko.
Q23A6_text;Change is part of the company culture. We are always looking for ways to grow and improve at every level.;Le changement fait partie de la culture d'entreprise. Nous recherchons toujours des moyens de grandir et de nous améliorer à tous les niveaux.;El cambio es parte de la cultura de la empresa. Siempre estamos buscando formas de crecer y mejorar en todos los niveles.;Mabadiliko iko mu utamaduni wa shirika. Daima tunatafuta njia za kukua na kuboresha katika kila ngazi.;Guhinduka ni kimwe mu bigize umuco wa sosiyete. Buri gihe dushakisha inzira zo gukura no gutera imbere murwego rwose.
Q24_text;"When someone makes a mistake in my team, it is often held against them.";"Quand quelqu'un fait une erreur dans mon équipe, cela lui est souvent reproché.";"Cuando alguien comete un error en mi equipo, a menudo se les reprocha.";"Mtu anapokosea katika timu yangu, mara nyingi hufanyika dhidi yao.";"Iyo umuntu akoze amakosa mw’ishami ryanjye, akenshi  arahanwa."
Q24_low_end_label;always;Toujours;Siempre;Daima;Buri gihe
Q24_high_end_label;never;Jamais;Nunca;kamwe;Nta na rimwe
Q24_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q25_text;"When it comes to questions about diversity, equity, and inclusion,do you think people areable to admit that they don't know something and ask questions?";"Quand il s'agit de questions sur la diversité, l'équité et l'inclusion, pensez-vous que les gens sont capables d'admettre qu'ils ne savent pas quelque chose et de poser des questions?";"Cuando se trata de preguntas sobre diversidad, equidad e inclusión, ¿cree que las personas pueden admitir que no saben algo y hacer preguntas?";"Linapokuja maswali juu ya utofauti, usawa, na ujumuishaji, je! Unafikiri watu wanaweza kukubali kwamba hawajui kitu na wanauliza maswali?";"Ku bijyanye n'ibibazo bijyanye n'amoko, uburinganire, no kwishyira hamwe, utekereza ko abantu bashora kubaza icyo batazi? "
Q25_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q25A1_text;"Not at all, there is a lot of judgment and criticism for acknowledging ignorance or mistakes.";"Pas du tout, il y a beaucoup de jugement et de critiques pour reconnaître l'ignorance ou les erreurs.";"Para nada, hay mucho juicio y crítica por reconocer ignorancia o errores.";"Sio kabisa, kuna hukumu nyingi na ukosoaji kwa kukiri ujinga au makosa.";"Ntabwo aribyo rwose, hariho guca imanza no kunengwa biturutse kurwanya ubujiji n’amafuti."
Q25A2_text;"I personally try to model this, but many others in my organization seem afraid or unwilling to.";"J'essaie personnellement de modéliser cela, mais de nombreux autres membres de mon organisation semblent avoir peur ou ne pas vouloir.";"Yo personalmente trato de modelar esto, pero muchos otros en mi organización parecen tener miedo o no quieren hacerlo.";"Mimi binafsi hujaribu kuonyesha mfano huu, lakini wengine wengi katika shirika langu wanaonekana kuogopa au kutotaka.";"Njye kubwanjye ndagerageza kubigana, ariko abandi benshi mumuryango wanjye basa nkabatinya cyangwa nka batabishaka."
Q25A3_text;"Some people in the organization seem willing to model this, but it still is not the majority.";"Certaines personnes au sein de l'organisation semblent disposées à donner l'exemple, mais ce n'est toujours pas la majorité.";"Algunas personas en la organización parecen estar dispuestas a modelar esto, pero aún no es la mayoría.";"Watu wengine katika shirika wanaonekana kuwa tayari kuonyesha mfano huu, lakini bado sio wengi.";"Abantu bamwe mumuryango basa nkabashaka kwerekana urugero, ariko biracyari benshi."
Q25A4_text;"We are trying to build a culture around this, but people are still hesitant to open up.";"Nous essayons de construire une culture autour de cela, mais les gens hésitent encore à s'ouvrir.";"Estamos tratando de construir una cultura entorno a esto, pero la gente todavía duda en abrirse.";"Tunajaribu kujenga utamaduni karibu na hii, lakini watu bado wanasita kufungua.";"Turimo kugerageza kubaka umuco kuri icyi kiganiro, ariko abantu baracyafite ubwoba bwo kwifungura."
Q25A5_text;"Absolutely, I see this modeled by supervisors and the vast majority of employees.";"Absolument, je vois cela être pris comme modèle par les superviseurs et la grande majorité des employés.";"Absolutamente, veo esto modelado por los supervisores y la gran mayoría de los empleados.";"Kwa kweli, naona hii inaonyeshwa na wasimamizi na idadi kubwa ya wafanyikazi.";"Nukuri, ndabona ibi bigororwa n’abagenzuzi hamwe nabakozi benshi."
Q26_text;"How does the organization respond to large scale mistakes, scandals, or problems? [check all that apply]";"Comment l'organisation réagit-elle aux erreurs, scandales ou problèmes à grande échelle? [Cochez toutes les cases]";"¿Cómo responde la organización a errores, escándalos o problemas a gran escala? [marque todo lo que corresponda]";"Je! Shirika linajibuje makosa makubwa, kashfa, au shida? [angalia yote yanayotumika]";"Nigute ishyirahamwe ricyemura  amakosa , ibisebo , cyangwa ibibazo? [reba ibisabwa byose]"
Q26_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q26A1_text;"The department or individual involved is blamed, then panics and scrambles to respond to the challenge.";"Le département ou l'individu impliqué est blâmé, puis panique et se démène pour relever le défi.";"Se culpa al departamento o individuo involucrado, luego entra en pánico y se apresura a responder al desafío.";"Idara au mtu anayehusika analaumiwa, kisha hofu na mikwaruzo kujibu changamoto hiyo.";"Ishami cyangwa umuntu ku giti cye wabigizemo uruhare, arashinjwa noneho akagira ubwoba maze akihutira kurwanya ikibazo."
Q26A2_text;"We avoid talking about it, and leadership pretends the situation doesn't exist.";Nous évitons d'en parler et la direction  prétend que la situation n'existe pas.;Evitamos hablar de ello y el liderazgo finge que la situación no existe.;"Tunaepuka kuizungumzia, na uongozi unajifanya hali hiyo haipo.";"Twirinda  kubiganiraho, kandi ubuyobozi bugakora nkaho ntacyabaye. "
Q26A3_text;Managers do not discuss company challenges with employees.;Les gestionnaires ne discutent pas des défis de l'entreprise avec les employés;Los gerentes no discuten los desafíos de la empresa con los empleados.;Wasimamizi hawajadili changamoto za kampuni na wafanyikazi.;Abayobozi ntibaganira nabakozi ibibazo byikigo.
Q26A4_text;"The organization acknowledges the problem, moves quickly to action, and adapts as needed.";"L'organisation reconnaît le problème, passe rapidement à l'action et s'adapte au besoin.";"La organización reconoce el problema, pasa rápidamente a la acción y se adapta según sea necesario.";"Shirika linakubali shida, huhamia haraka kuchukua hatua, na hubadilika inahitajika.";"Ishirahamwe ryemera ikibazo, rikihutura gukomeza akazi ndetse rikacyira impunduka zose."
Q26A5_text;"The organization openly acknowledges the situation, then we discuss and brainstorm alternatives as a team.";"L'organisation reconnaît ouvertement la situation, puis nous discutons et réfléchissons à des alternatives en équipe";"La organización reconoce abiertamente la situación, luego discutimos e intercambiamos ideas sobre alternativas como equipo.";"Shirika linakubali wazi hali hiyo, kisha tunajadili na kufikiria njia mbadala kama timu.";"Ishirahamwe ryemera kumugaragaro uko ibintu bimeze, hanyuma turaganira no kungurana ibitekerezo muburyo bumwe nkitsinda."
Q26A6_text;There are built in systems for how to respond to urgent challenges.;Il existe des systèmes intégrés pour répondre aux défis urgents.;Hay sistemas integrados sobre cómo responder a desafíos urgentes.;Zimejengwa katika mifumo ya jinsi ya kujibu changamoto za haraka.;Hano hubatswe muri sisitemu yuburyo bwo gukemura ibibazo byihutirwa.
Q26A7_text;none of the above.;Aucune de ces réponses;Ninguna de las anteriores;Hakuna jibu hata moja hapo juu.;Nta na kimwe hejuru
Q27_text;I feel like I can speak up and disagree or discuss uncomfortabletopicswithmy direct manager.;Je sens que je peux parler et être en désaccord ou discuter de sujets inconfortables avec mon supérieur direct.;"Siento que puedo hablar y no estar de acuerdo; o discutir temas incómodos con mi gerente directo.";Ninahisi kama ninaweza kusema na kutokubaliana au kujadili mada zisizo na wasiwasi na meneja wangu wa moja kwa moja.;Ndumva nshobora kuvuga no kutemeranya cyangwa kuganira kubintu bitameze neza n’umuyobozi wanjye.
Q27_low_end_label;Never;Jamais;Nunca;kamwe;Nta na rimwe
Q27_high_end_label;Always;Toujours;Siempre;Daima;Buri gihe
Q27_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q28_text;I feel capable of influencing or fixing things that aren't great within the company.;Je me sens capable d'influencer ou de réparer des choses qui ne sont pas géniales au sein de l'entreprise.;Me siento capaz de influir o arreglar cosas que no son buenas dentro de la empresa.;Ninahisi nina uwezo wa kushawishi au kurekebisha vitu ambavyo sio nzuri ndani ya kampuni.;Ndumva nshoboye guhindura cyangwa gukosora ibintu bitari byiza muri sosiyete.
Q28_low_end_label;not at all;pas du tout;Para nada;Sio kabisa;Ntabwo ari rwose
Q28_high_end_label;extremely capable;Extrêmement capable;Extremadamente capaz;Uwezo mkubwa;Birashoboka cyane
Q28_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q29_text;"When it comes to making decisions in your organization, what percentage of decisions do you think are made in the following ways:";"Quand il s'agit de prendre des décisions dans votre organisation, quel pourcentage de décisions pensez-vous être pris de la manière suivante:";"Cuando se trata de tomar decisiones en su organización, ¿qué porcentaje de decisiones cree que se toman de las siguientes formas?";"Linapokuja suala la kufanya maamuzi katika shirika lako, unafikiria ni asilimia ngapi ya maamuzi hufanywa kwa njia zifuatazo:";"Ku bijyanye no gufata ibyemezo mw’ishyirahamwe  ryawe, ni ikihe gipimo cyibyemezo utekereza ko byafashwe muburyo bukurikira:"
Q29_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q29A1_text;Leadership makes a decision without any input from employees.;La direction prend une décision sans aucune contribution des employés.;El liderazgo toma una decisión sin la participación de los empleados.;Uongozi hufanya uamuzi bila maoni yoyote kutoka kwa wafanyikazi.;Ubuyobozi bufata icyemezo nta gitekerezo cyatanzwe nabakozi.
Q29A2_text;"Leadership consults with managers prior to making a decision, then makes it.";"La direction consulte les gestionnaires avant de prendre une décision, puis la prend.";El liderazgo consulta con los gerentes antes de tomar una decisión y luego la toma.;"Uongozi hushauriana na mameneja kabla ya kufanya uamuzi, kisha huufanya.";"Ubuyobozi bugisha inama abayobozi mbere yo gufata icyemezo, hanyuma bukagifata."
Q29A3_text;"Leadership conducts focus groups, collects data and feedback, then makes decision.";"La direction organise des groupes de discussion, recueille des données et des commentaires, puis prend des décisions.";"El liderazgo lleva a cabo grupos focales, recopila datos y comentarios y luego toma decisiones.";"Uongozi hufanya vikundi vya umakini, hukusanya data na maoni, kisha hufanya uamuzi.";"Ubuyobozi bukora amatsinda yibanze, ikusanya ry’amakuru n'ibitekerezo, hanyuma rigafata icyemezo."
Q29A4_text;Teams or departments make recommendations and leadership selects from these choices.;Les équipes ou les départements font des recommandations et la direction choisit parmi ces choix.;Los equipos o departamentos hacen recomendaciones y el liderazgo selecciona entre estas opciones.;Timu au idara zinatoa mapendekezo na Uongozi huchagua kutoka kwa chaguo hizi.;Amakipe cyangwa amashami atanga ibyifuzo kandi ubuyobozi butoranya muri aya mahitamo.
Q29A5_text;"Leadership may advise, but teams or departments make decisions for themselves.";"La direction peut conseiller, mais les équipes ou les départements prennent des décisions pour eux-mêmes.";"El liderazgo puede asesorar, pero los equipos o departamentos toman decisiones por sí mismos.";"Uongozi unaweza kushauri, lakini timu au idara zinajifanyia maamuzi.";"Ubuyobozi bushobora gutanga inama, ariko  amashami akifatira ibyemezo ubwabo."
Q30_text;Do you feel like your current position makes use of your expertise and skills?;Avez-vous l'impression que votre poste actuel met à profit votre expertise et vos compétences?;¿Siente que su puesto actual hace uso de su experiencia y habilidades?;Je! Unahisi kama msimamo wako wa sasa unatumia utaalam wako na ustadi wako?;Urumva umwanya wawe wubu ukoresha ubuhanga n’ubumenyi bwawe?
Q30_low_end_label;My job does not use/value my skills.;Mon travail n'utilise  / valorise pas mes compétences;Mi trabajo no usa / valora mis habilidades;Kazi yangu haitumii / inathamini ustadi wangu;Akazi kanjye ntabwo gakoresha cyangwa ngo gahe agaciro ubuhanga bwanjye
Q30_high_end_label;My job makes great use of my skills.;Mon métier utilise toutes mes compétences;Mi trabajo usa todas mis habilidades;Kazi yangu hutumia ustadi wangu wote;Akazi kanjye gakoresha ubuhanga bwanjye bwose
Q30_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q31_text;I think the organization (and executive leadership) would be open to hearing constructive criticism from its employees.;Je pense que l'organisation (et la direction exécutive) serait ouverte aux critiques constructives de ses employés.;Creo que la organización (y el liderazgo ejecutivo) estaría abierta a escuchar críticas constructivas de sus empleados.;Nadhani shirika (na uongozi mtendaji) lingekuwa wazi kusikia ukosoaji mzuri kutoka kwa wafanyikazi wake.;Ndibwira ko ishyirahamwe (n’ubuyobozi bukuru) ryaba ryiteguye kumva no  kunengwa n’abakozi barigize.
Q31_low_end_label;not at all;pas du tout;Para nada;Kamwe;oya rwose
Q31_high_end_label;absolutely;Tout à fait;absolutamente;Mara kwa mara;rwose
Q31_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q32_text;How would you describe the transparency of your organization?;Comment décririez-vous la transparence de votre organisation?;¿Cómo describiría la transparencia de su organización?;Je! Unawezaje kuelezea uwazi wa shirika lako?;Nigute wasobanura gukorera umucyo mu mirimo y’ishyirahmwe ryawe?  
Q32_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q32A1_text;"Information is tightly controlled. Most employees do not know what other parts of the organization are doing, or how to move or grow within the organization.";"Les informations sont étroitement contrôlées. La plupart des employés ne savent pas ce que font les autres parties de l'organisation, ni comment évoluer ou se développer au sein de l'organisation.";"La información está estrictamente controlada. La mayoría de los empleados no saben qué están haciendo otras partes de la organización, ni cómo moverse o crecer dentro de la organización.";"Habari inadhibitiwa vyema. Wafanyakazi wengi hawajui sehemu zingine za shirika zinafanya nini, au jinsi ya kuhamia au kukua ndani ya shirika.";"Amakuru aragenzurwa cyane. Abakozi benshi ntibazi ibyo bindi bice by’ishyirahamwe bikora, cyangwa uburyo bwo gutera intambwe cyangwa gukura mw’ishyirahamwe."
Q32A2_text;Inconsistently transparent. Some managers are more direct and informative than others.;Transparence incohérente. Certains gestionnaires sont plus directs et informatifs que d'autres.;Inconsistentemente transparente. Algunos gerentes son más directos e informativos que otros.;Uwazi usiobadilika. Wasimamizi wengine ni wa moja kwa moja na wanaofahamisha zaidi kuliko wengine.;Mu mucyo. Abayobozi bamwe barayobora kandi batanga amakuru kurusha abandi.
